Name of Plant,Scientific Name,Family,Related Database,Therapeutic Use,Tissue & Part,Preparation Method,NE State Availability,Phytochemical(s),Phytochemical Reference,Literature Reference
,"Mucuna pruriens (L.) DC.

",FABACEAE,,,,,,,,
,"Murdannia scapiflora (Roxb.) Royle

",COMMELINACEAE,,,,,,,,
,"Murraya koenigii (L.) Spreng.

",RUTACEAE,,,,,,,,
,"Murraya paniculata (L.) Jacq.

",RUTACEAE,,,,,,,,
,"Musa paradisiaca L.

",MUSACEAE,,,,,,,,
,"Mussaenda glabra Vahl

",RUBIACEAE,,,,,,,,
,"Mussaenda glabrata (Hook.f.) Hutch. ex Gamble

",RUBIACEAE,,,,,,,,
,"Myrica esculenta Buch.-Ham.

",MYRICACEAE,,,,,,,,
,"Myricaria bracteata Royle

",TAMARICACEAE,,,,,,,,
,"Myristica dactyloides Gaertn.

",MYRISTICACEAE,,,,,,,,
,"Myristica fragrans Houtt.

",MYRISTICACEAE,,,,,,,,
,"Myristica malabarica Lam.

",MYRISTICACEAE,,,,,,,,
,"Myrsine africana L.

",MYRSINACEAE,,,,,,,,
,"Myrtus communis L.

",MYRTACEAE,,,,,,,,
,"Myxopyrum smilacifolium (Wall.) Blume

",OLEACEAE,,,,,,,,
,"Nannorhops ritchiena (Griff.) Wendl.

",ARECACEAE,,,,,,,,
,"Nardostachys grandiflora DC.

",VALERIANACEAE,,,,,,,,
,"Naringi crenulata (Roxb.) Nicolson

",RUTACEAE,,,,,,,,
,"Nelumbo nucifera Gaertn.

",NYMPHAEACEAE,,,,,,,,
,"Neolitsea cassia (L.) Kosterm.

",LAURACEAE,,,,,,,,
,"Olea dioica Roxb.

",OLEACEAE,,,,,,,,
,"Olea europaea L.

",OLEACEAE,,,,,,,,
,"Olea ferruginea Royle

",OLEACEAE,,,,,,,,
,"Olea glandulifera Wall. ex G.Don
",OLEACEAE,,,,,,,,
,"Onosma bracteatum Wall.

",BORAGINACEAE,,,,,,,,
,"Onosma hispidum Wall. ex G.Don

",BORAGINACEAE	,,,,,,,,
,"Ophioglossum vulgatum L.

",OPHIOGLOSSACEAE,,,,,,,,
,"Ophiorrhiza mungos L.

",RUBIACEAE,,,,,,,,
,"Opuntia coccinellifera Mill.

",CACTACEAE,,,,,,,,
,"Opuntia nigricans Haw.

",CACTACEAE,,,,,,,,
,"Oreocnide integrifolia Miq.

",URTICACEAE,,,,,,,,
,"Origanum vulgare L.

",LAMIACEAE,,,,,,,,
,"Ormocarpum sennoides DC.

",FABACEAE,,,,,,,,
,"Orobanche aegyptiaca Pers.

",OROBANCHACEAE,,,,,,,,
,"Oroxylum indicum (L.) Vent.

",BIGNONIACEAE,,,,,,,,
,"Orthosiphon grandiflorus Boldingh.

",LAMIACEAE,,,,,,,,
,"Orthosiphon pallidus Royle ex Benth.

",LAMIACEAE,,,,,,,,
,"Osbeckia crinita Benth.

",MELASTOMATACEAE,,,,,,,,
,"Osbeckia nepalensis Hook.

",MELASTOMATACEAE,,,,,,,,
,"Osmanthus fragrans Lour.

",OLEACEAE,,,,,,,,
,"Osmunda regalis L.

",OSMUNDACEAE,,,,,,,,
,"Ougeinia oojeinensis (Roxb.) Hochr.

",FABACEAE,,,,,,,,
,"Ouratea angustifolia Baill. ex Laness.

",OCHNACEAE,,,,,,,,
,"Oxalis corniculata L.

",OXALIDACEAE,,,,,,,,
,"Oxyria digyna (L.) Hill

",POLYGONACEAE,,,,,,,,
,"Oxystelma secamone (L.) K.Schum.

",ASCLEPIADACEAE,,,,,,,,
,"Pachyrrhizus erosus (L.) Urban

",FABACEAE,,,,,,,,
,"Paederia scandens (Lour.) Merr.

",RUBIACEAE,,,,,,,,
,"Paeonia emodi Wall. ex Hook.f.

",PAEONIACEAE,,,,,,,,
,"Pajanelia longifolia (Willd.) K.Schum.

",BIGNONIACEAE,,,,,,,,
,"Panax pseudo-ginseng Wall.

",ARALIACEAE,,,,,,,,
,"Panicum antidotale Retz.

",POACEAE,,,,,,,,
,"Panicum incomtum Trin.

",POACEAE,,,,,,,,
,"Panicum maximum Jacq.

",POACEAE,,,,,,,,
,"Papaver argemone L.

",PAPAVERACEAE,,,,,,,,
,"Papaver dubium L.

",PAPAVERACEAE,,,,,,,,
,"Papaver hybridum L.

",PAPAVERACEAE,,,,,,,,
,"Papaver nudicaule L.

",PAPAVERACEAE,,,,,,,,
,"Papaver orientale L.

",PAPAVERACEAE,,,,,,,,
,"Papaver rhoeas L.

",PAPAVERACEAE,,,,,,,,
,"Papaver somniferum L.

",PAPAVERACEAE,,,,,,,,
,"Paracalyx scariosa (Roxb.) Ali

",FABACEAE,,,,,,,,
,"Parameria polyneura Hook.f.

",APOCYNACEAE,,,,,,,,
,"Paramignya angulata Kurz

",RUTACEAE,,,,,,,,
,"Paramignya monophylla Wight

",RUTACEAE,,,,,,,,
,"Parsonsia helicandra Hook. & Arn.

",APOCYNACEAE,,,,,,,,
,"Paspalum scrobiculatum L.

",POACEAE,,,,,,,,
,"Passiflora edulis Sims

",PASSIFLORACEAE,,,,,,,,
,"Passiflora foetida L.

",PASSIFLORACEAE,,,,,,,,
,"Pavetta crassicaulis Bremek.

",RUBIACEAE,,,,,,,,
,"Pavonia odorata Willd.

",MALVACEAE,,,,,,,,
,"Pavonia zeylanica (L.) Cav.

",MALVACEAE,,,,,,,,
,"Pedalium murex L.

",PEDALIACEAE,,,,,,,,
,"Pedicularis pectinata Wall. ex Benth.

",SCROPHULARIACEAE,,,,,,,,
,"Pedicularis siphonantha D.Don

",SCROPHULARIACEAE,,,,,,,,
,"Pedilanthus tithymaloides (L.) Poit.

",EUPHORBIACEAE,,,,,,,,
,"Peganum harmala L.

",RUTACEAE,,,,,,,,
,"Pelargonium graveolens L'Herit.

",GERANIACEAE,,,,,,,,
,"Pellaea hastata (Thunb.) Prantl.

",ADIANTACEAE,,,,,,,,
,"Pentapetes phoenicea L.

",STERCULIACEAE,,,,,,,,
,"Pentatropis spiralis (Forsk.) Decne

",ASCLEPIADACEAE,,,,,,,,
,Pergularia daemia (Forsk.) Choiv,ASCLEPIADACEAE,,,,,,,,
,"Pericampylus glaucus (Lam.) Miers.

",MENISPERMACEAE,,,,,,,,
,"Perilepta auriculata (Nees) Bremek

",ACANTHACEAE,,,,,,,,
,"Perilla frutescens (L.) Britton

",LAMIACEAE,,,,,,,,
,"Periploca aphylla Decne.

",PERIPLOCACEAE,,,,,,,,
,"Peristrophe bicalyculata (Retz.) Nees

",ACANTHACEAE,,,,,,,,
,"Peristrophe roxburghiana (Roem. & Schult.) Bremek.

",ACANTHACEAE,,,,,,,,
,"Perovskia abrotanoides Kar.

",LAMIACEAE,,,,,,,,
,"Petroselinum crispum (Mill.) Airy-Shaw

",APIACEAE,,,,,,,,
,"Peucedanum dhana Buch.-Ham. ex C.B.Clarke

",APIACEAE,,,,,,,,
,"Peucedanum grande C.B.Clarke

",APIACEAE,,,,,,,,
,"Peucedanum nagpurense Prain

",APIACEAE,,,,,,,,
,"Phaseolus adenanthus G.F.Meyer

",FABACEAE,,,,,,,,
,"Phaseolus lunatus L.

",FABACEAE,,,,,,,,
,"Phaseolus vulgaris L.

",FABACEAE,,,,,,,,
,"Phlogacanthus thyrsiflorus (Roxb.) Nees

",ACANTHACEAE,,,,,,,,
,"Phoenix dactylifera L.

",ARECACEAE,,,,,,,,
,"Phoenix pusilla Gaertn.

",ARECACEAE,,,,,,,,
,"Phoenix sylvestris (L.) Roxb.

",ARECACEAE,,,,,,,,
,"Phyla nodiflora (L.) Greene

",VERBENACEAE,,,,,,,,
,"Phyllanthus acidus (L.) Skeels

",EUPHORBIACEAE,,,,,,,,
,"Phyllanthus fraternus Webster

",EUPHORBIACEAE,,,,,,,,
,"Phyllanthus maderaspatensis L.

",EUPHORBIACEAE,,,,,,,,
,"Phyllanthus urinaria L.

",EUPHORBIACEAE,,,,,,,,
,"Phyllanthus virgatus Forst.

",EUPHORBIACEAE,,,,,,,,
,"Phyllochlamys taxoides Koord.

",MORACEAE,,,,,,,,
,"Physalis angulata L.

",SOLANACEAE,,,,,,,,
,"Physalis minima L.

",SOLANACEAE,,,,,,,,
,"Physalis peruviana L.

",SOLANACEAE,,,,,,,,
,"Physochlaina praealta (Walp.) Hook.f.

",SOLANACEAE,,,,,,,,
,"Phytolacca acinosa Roxb.

",PHYTOLACCACEAE,,,,,,,,
,"Picororhiza kurroa Royle ex Benth.

",SCROPHULARIACEAE,,,,,,,,
,"Picrasma javanica Blume

",SIMAROUBACEAE,,,,,,,,
,"Picrasma quassioides (D.Don) Benn.

",SIMAROUBACEAE,,,,,,,,
,"Picris hieracioides L.

",ASTERACEAE,,,,,,,,
,"Pilea microphylla (L.) Liebm.

",URTICACEAE,,,,,,,,
,"Pimpinella anisum L.

",APIACEAE,,,,,,,,
,"Pimpinella heyneana Wall.

",APIACEAE,,,,,,,,
,"Pinanga dicksonii (Roxb.) Scheffer

",ARECACEAE,,,,,,,,
,"Pinus gerardiana Wall. ex Lamb

",PINACEAE,,,,,,,,
,"Pinus roxburghii Sargent.

",PINACEAE,,,,,,,,
,"Piper cubeba L.f.

",PIPERACEAE,,,,,,,,
,"Piper longum L.

",PIPERACEAE,,,,,,,,
,"Piper retrofractum Vahl

",PIPERACEAE,,,,,,,,
,"Piper sarmentosum Roxb.

",PIPERACEAE,,,,,,,,
,"Piper sylvaticum Roxb.

",PIPERACEAE,,,,,,,,
,"Piper trioicum Roxb.

",NYCTAGINACEAE,,,,,,,,
,"Piper wallichii (Miq.) Hand.-Mazz.

",ANACARDIACEAE,,,,,,,,
,"Pisonia mitis L.

",ANACARDIACEAE,,,,,,,,
,"Pistacia kinjuk Stocks

",ANACARDIACEAE,,,,,,,,
,"Pistacia lentiscus L.

",ARACEAE,,,,,,,,
,"Pistacia vera L.

",FABACEAE,,,,,,,,
,"Pistia stratiotes L.

",MIMOSACEAE,,,,,,,,
,"Pisum sativum L.

",MIMOSACEAE,,,,,,,,
,"Pithecellobium angulatum Benth.

",MIMOSACEAE,,,,,,,,
,"Pithecellobium clypearia Benth.

",MIMOSACEAE,,,,,,,,
,"Pithecellobium dulce (Roxb.) Benth.

",PITTOSPORACEAE,,,,,,,,
,"Pithecellobium monadelphum (Roxb.) Koster

",PLANTAGINACEAE,,,,,,,,
,"Plantago himalaica Pilger

",PLANTAGINACEAE,,,,,,,,
,"Plantago lanceolata L.

",PLANTAGINACEAE,,,,,,,,
,"Plantago major L.

",PLANTAGINACEAE,,,,,,,,
,"Plantago ovata Forsk.

",PLANTAGINACEAE,,,,,,,,
,"Plantago psyllium L.

",PLANTAGINACEAE,,,,,,,,
,"Platanus orientalis L.

",PLATANACEAE,,,,,,,,
,"Plectranthus mollis (Aiton) Spreng.

",LAMIACEAE,,,,,,,,
,"Pleopeltis macrocarpa (Borry ex Willd.) Kaulf.

",POLYPODIACEAE,,,,,,,,
,"Plesmonium margaritiferum (Roxb.) Schott

",ARACEAE,,,,,,,,
,"Pluchea indica Less.

",ASTERACEAE,,,,,,,,
,"Pluchea lanceolata (DC.) C.B.Clarke

",ASTERACEAE,,,,,,,,
,"Plumbago indica L.

",PLUMBAGINACEAE,,,,,,,,
,"Plumbago zeylanica L.

",PLUMBAGINACEAE,,,,,,,,
,"Plumeria alba L.

",APOCYNACEAE,,,,,,,,
,"Plumeria rubra L.

",APOCYNACEAE,,,,,,,,
,"Plumeria rubra L. forma acuminata

",APOCYNACEAE,,,,,,,,
,"Podocarpus neriifolia D.Don

",PODOCARPACEAE,,,,,,,,
,"Pogostemon benghalense (Burm.) Kuntze

",LAMIACEAE,,,,,,,,
,"Pogostemon heyneanus Benth.

",LAMIACEAE,,,,,,,,
,"Pogostemon parviflorus Benth.

",LAMIACEAE,,,,,,,,
,"Pogostemon purpurascens Dalzell

",LAMIACEAE,,,,,,,,
,"Polyalthia longifolia (Sonn.) Thwaites

",ANNONACEAE,,,,,,,,
,"Polycarpea corymbosa (L.) Lam.

",CARYOPHYLLACEAE,,,,,,,,
,"Polycarpon prostratum (Forsk.) Aschers. & Schweinf.

",CARYOPHYLLACEAE,,,,,,,,
,"Polygala crotalarioides Buch.-Ham. ex DC.

",POLYGALACEAE,,,,,,,,
,"Polygala elongata Klein ex Willd.

",POLYGALACEAE,,,,,,,,
,"Polygala glomerata Lour.

",POLYGALACEAE,,,,,,,,
,"Polygala sibirica L.

",POLYGALACEAE,,,,,,,,
,"Polygala telephioides Willd.

",POLYGALACEAE,,,,,,,,
,"Polygonatum multiflorum (L.) Allioni

",LILIACEAE,,,,,,,,
,"Polygonum aviculare L.

",POLYGONACEAE,,,,,,,,
,"Polygonum barbatum L.

",POLYGONACEAE,,,,,,,,
,"Polygonum chinense L.

",POLYGONACEAE,,,,,,,,
,"Polygonum glabrum Willd.

",POLYGONACEAE,,,,,,,,
,"Polygonum hydropiper L.

",POLYGONACEAE,,,,,,,,
,"Polygonum molle D.Don

",POLYGONACEAE,,,,,,,,
,"Polygonum nepalense Meissn.

",POLYGONACEAE,,,,,,,,
,"Polygonum orientale L.

",POLYGONACEAE,,,,,,,,
,"Polygonum persicaria L.

",POLYGONACEAE,,,,,,,,
,"Polygonum plebeium R.Br.

",POLYGONACEAE,,,,,,,,
,"Polygonum polystachyum Wall. ex Meissn.

",POLYGONACEAE,,,,,,,,
,"Polygonum tenellum Blume

",POLYGONACEAE,,,,,,,,
,"Polygonum virginianum L.

",POLYGONACEAE,,,,,,,,
,"Polygonum viviparum L.

",POLYGONACEAE,,,,,,,,
,"Polypodium vulgare L.

",POLYPODIACEAE	,,,,,,,,
,"Polyscias fruticosa (L.) Harms

",ARALIACEAE	,,,,,,,,
,"Populus alba L.

",SALICACEAE,,,,,,,,
,"Populus euphratica Oliv.

",SALICACEAE,,,,,,,,
,"Portulaca oleracea L.

",PORTULACACEAE	,,,,,,,,
,"Portulaca pilosa L.

",PORTULACACEAE	,,,,,,,,
,"Portulaca quadrifida L.

",PORTULACACEAE	,,,,,,,,
,"Potentilla anserina L.

",ROSACEAE,,,,,,,,
,"Potentilla arbuscula D.Don

",ROSACEAE,,,,,,,,
,"Potentilla lineata Trevir ex Reich.

",ROSACEAE,,,,,,,,
,"Potentilla nepalensis Hook.

",ROSACEAE,,,,,,,,
,"Potentilla reptans L.

",ROSACEAE,,,,,,,,
,"Potentilla sundaica (Blume) Kuntze

",ROSACEAE,,,,,,,,
,"Potentilla supina L.

",ROSACEAE,,,,,,,,
,"Pothos cathcartii Schott

",ARACEAE,,,,,,,,
,"Pothos scandens L.

",ARACEAE,,,,,,,,
,"Pouzolzia sanguinea (Blume) Merr.

",URTICACEAE,,,,,,,,
,"Pouzolzia zeylanica (L.) Benn.

",URTICACEAE,,,,,,,,
,Prangos pabularia Lindl.,APIACEAE,,,,,,,,
,"Pratia nummularia (Lam.) A.Braun & Asch.

",CAMPANULACEAE,,,,,,,,
,"Premna corymbosa Rottler & Willd.

",VERBENACEAE,,,,,,,,
,"Premna divaricata Wall.

",VERBENACEAE,,,,,,,,
,"Premna latifolia Roxb.

",VERBENACEAE,,,,,,,,
,"Premna tomentosa Willd.

",VERBENACEAE,,,,,,,,
,"Primula reticulata Wall.

",PRIMULACEAE,,,,,,,,
,"Prinsepia utilis Royle

",ROSACEAE,,,,,,,,
,"Prosopis chilensis (Molana) Stuntze

",MIMOSACEAE,,,,,,,,
,"Prosopis cineraria (L.) Druce

",MIMOSACEAE,,,,,,,,
,Prunella vulgaris L.,LAMIACEAE,,,,,,,,
,"Prunus armeniaca L.

",ROSACEAE,,,,,,,,
,"Prunus avium L.

",ROSACEAE,,,,,,,,
,"Prunus cerasoides D.Don

",ROSACEAE,,,,,,,,
,"Prunus cerasus L.

",ROSACEAE,,,,,,,,
,"Prunus ceylanica (Wight) Miq.

",ROSACEAE,,,,,,,,
,"Prunus domestica L.

",ROSACEAE,,,,,,,,
,"Prunus dulcis (Mill.) D.A.Webb.

",ROSACEAE,,,,,,,,
,"Prunus mahaleb L.

",ROSACEAE,,,,,,,,
,"Prunus persica (L.) Batsch

",ROSACEAE,,,,,,,,
,"Prunus salicina Lindl.

",ROSACEAE,,,,,,,,
,"Prunus undulata Buch.-Ham. ex D.Don

",ROSACEAE,,,,,,,,
,"Psammogeton canescens (DC.) Vatke

",APIACEAE,,,,,,,,
,"Pseudarthria viscida (L.) Wight & Arn.

",FABACEAE,,,,,,,,
,"Psidium guajava L.

",MYRTACEAE,,,,,,,,
,"Psoralea corylifolia L.

",FABACEAE,,,,,,,,
,"Pteridium aquilinum (L.) Kuhn.

",DENNSTAEDTIACEAE,,,,,,,,
,"Pterocarpus indicus Willd.

",FABACEAE,,,,,,,,
,"Pterocarpus marsupium Roxb.

",FABACEAE,,,,,,,,
,"Pterocarpus santalinus L.f.

",FABACEAE,,,,,,,,
,"Pterocymbium javanicum R.Br.

",STERCULIACEAE,,,,,,,,
,"Pterospermum acerifolium (L.) Willd.

",STERCULIACEAE,,,,,,,,
,"Pterospermum suberifolium Lam.

",STERCULIACEAE,,,,,,,,
,"Pterospermum xylocarpum (Gaertn.) Oken

",STERCULIACEAE,,,,,,,,
,"Pueraria phaseoloides (Roxb.) Benth.

",FABACEAE	,,,,,,,,
,"Pueraria tuberosa (Roxb. ex Willd.) DC.

",FABACEAE	,,,,,,,,
,"Pulicaria crispa (Forssk.) Benth.

",ASTERACEAE,,,,,,,,
,"Pulicaria dysenterica (L.) Gaeertn.

",ASTERACEAE,,,,,,,,
,"Punica granatum L.

",PUNICACEAE,,,,,,,,
,"Quercus infectoria Oliv.

",FAGACEAE,,,,,,,,
,"Quercus lamellosa Sm.

",FAGACEAE,,,,,,,,
,"Quercus leucotrichophora A.Camus ex Bahadur

",FAGACEAE,,,,,,,,
,"Quercus pachyphylla Kurz

",FAGACEAE,,,,,,,,
,"Quisqualis indica L.

",COMBRETACEAE,,,,,,,,
,"Radermachera xylocarpa (Roxb.) K.Schum.

",BIGNONIACEAE,,,,,,,,
,"Randia cochinchinensis (Lour.) Merr.

",RUBIACEAE,,,,,,,,
,"Randia longiflora Lam.

",RUBIACEAE,,,,,,,,
,"Randia tomentosa Hook.f.

",RUBIACEAE,,,,,,,,
,"Ranunculus aquatilis L.

",RANUNCULACEAE,,,,,,,,
,"Ranunculus arvensis L.

",RANUNCULACEAE,,,,,,,,
,"Ranunculus cantoniensis DC.

",RANUNCULACEAE,,,,,,,,
,"Ranunculus lingua L.

",RANUNCULACEAE,,,,,,,,
,"Ranunculus muricatus L.

",RANUNCULACEAE,,,,,,,,
,"Ranunculus sceleratus L.

",RANUNCULACEAE,,,,,,,,
,"Raphanus sativus L.

",BRASSICACEAE,,,,,,,,
,"Rauvolfia sarpentina (L.) Benth. ex Kurz

",APOCYNACEAE,,,,,,,,
,"Rauvolfia tetraphylla L.

",APOCYNACEAE,,,,,,,,
,"Reinwardtia indica Dumort.

",LINACEAE,,,,,,,,
,"Reissantia indica (Willd.) Halle

",HIPPOCRATEACEAE,,,,,,,,
,"Remusatia vivipara (Roxb.) Schott

",ARACEAE,,,,,,,,
,"Reseda odorata L.

",RESEDACEAE,,,,,,,,
,"Rhamnus nepalensis (Wall.) M.A.Lawson

",RHAMNACEAE,,,,,,,,
,"Rhamnus purpureus Edgew.

",RHAMNACEAE,,,,,,,,
,"Rhamnus triquetra Wall. ex Roxb.

",RHAMNACEAE,,,,,,,,
,"Rhamnus virgatus Roxb.

",RHAMNACEAE,,,,,,,,
,"Rhamnus wightii Wight & Arn.

",RHAMNACEAE,,,,,,,,
,"Rheum emodi Wall. ex Meissn.

",POLYGONACEAE,,,,,,,,
,"Rheum spiciforme Royle

",POLYGONACEAE,,,,,,,,
,"Rheum webbianum Royle

",POLYGONACEAE,,,,,,,,
,"Rhinacanthus nasuta (L.) Kurz

",ACANTHACEAE,,,,,,,,
,"Rhizophora mucronata Lam.

",RHIZOPHORACEAE,,,,,,,,
,"Rhodamnia trinervia Blume

",MYRTACEAE,,,,,,,,
,"Rhododendron anthopogon D.Don

",ERICACEAE,,,,,,,,
,"Rhododendron arboreum Sm.

",ERICACEAE,,,,,,,,
,"Rhododendron campanulatum D.Don

",ERICACEAE,,,,,,,,
,"Rhododendron lepidotum Wall. ex G.Don

",ERICACEAE,,,,,,,,
,"Rhododendron setosum D.Don

",ERICACEAE,,,,,,,,
,"Rhodomyrtus tomentosa Wight

",MYRTACEAE,,,,,,,,
,"Rhus coriaria L.

",ANACARDIACEAE,,,,,,,,
,"Rhus hookeri K.C.Sahni & Bahadur

",ANACARDIACEAE,,,,,,,,
,"Rhus javanica L.

",ANACARDIACEAE,,,,,,,,
,"Rhus parviflora Roxb. ex DC.

",ANACARDIACEAE,,,,,,,,
,"Rhus punjabensis J.L.Stew. ex Brand.

",ANACARDIACEAE,,,,,,,,
,"Rhus succedanea L.

",ANACARDIACEAE,,,,,,,,
,"Rhynchosia minima (L.) DC.

",FABACEAE,,,,,,,,
,"Rhynchostylis retusa (L.) Blume

",ORCHIDACEAE,,,,,,,,
,"Ribes alpestre Wall. ex Decne.

",GROSSULARIACEAE,,,,,,,,
,"Ribes orientalis Desf.

",GROSSULARIACEAE,,,,,,,,
,"Ricinus communis L.

",EUPHORBIACEAE,,,,,,,,
,"Rivea ornata (Roxb.) Choisy.

",CONVOLVULACEAE,,,,,,,,
,"Rorippa indica (L.) Hiern

",BRASSICACEAE,,,,,,,,
,"Rorippa islandica (Oeder) Borbs

",BRASSICACEAE,,,,,,,,
,"Rorippa nasturtium-aquaticum (L.) Hayek

",BRASSICACEAE,,,,,,,,
,"Rosa banksiae R.Br.
",ROSACEAE,,,,,,,,
,"Rosa brunonii Lindl.

",ROSACEAE,,,,,,,,
,"Rosa centifolia L.

",ROSACEAE,,,,,,,,
,"Rosa damascena Mill.

",ROSACEAE,,,,,,,,
,"Rosa multiflora Thunb.

",ROSACEAE,,,,,,,,
,"Roscoea purpurea Sm.
",ZINGIBERACEAE,,,,,,,,
,"Rosmarinus officinalis L.

",LAMIACEAE,,,,,,,,
,"Rotula aquatica Lour.

",BORAGINACEAE,,,,,,,,
,"Roylea cineria (D.Don) Baill.

",LAMIACEAE,,,,,,,,
,"Roylea cineria (D.Don) Baill.

",RUBIACEAE,,,,,,,,
,"Rubia tinctorum L.

",RUBIACEAE,,,,,,,,
,"Rubus moluccanus L.

",ROSACEAE,,,,,,,,
,"Rumex acetosa L.

",POLYGONACEAE,,,,,,,,
,"Rumex acetosella L.

",POLYGONACEAE,,,,,,,,
,"Rumex crispus L.

",POLYGONACEAE,,,,,,,,
,"Rumex dentatus L.

",POLYGONACEAE,,,,,,,,
,"Rumex maritimus L.

",POLYGONACEAE,,,,,,,,
,"Rumex nepalensis Spreng.

",POLYGONACEAE,,,,,,,,
,"Rumex scutatus L.

",POLYGONACEAE,,,,,,,,
,"Rungia parviflora (Retz.) Nees

",ACANTHACEAE,,,,,,,,
,"Rungia repens (L.) Nees

",ACANTHACEAE,,,,,,,,
,"Ruta graveolens L.

",RUTACEAE,,,,,,,,
,"Saccharum bengalense Retz.

",POACEAE,,,,,,,,
,"Saccharum spontaneum L.

",POACEAE,,,,,,,,
,"Sageraea laurifolia (Grah.) Blatter

",ANNONACEAE,,,,,,,,
,"Sagittaria sagittifolia L.

",ALISMATACEAE,,,,,,,,
,"Salacia chinensis L.

",CELASTRACEAE,,,,,,,,
,"Salacia oblonga Wall.

",CELASTRACEAE,,,,,,,,
,"Salacia reticulata Wight

",CELASTRACEAE,,,,,,,,
,"Salicornia brachiata Roxb.

",CHENOPODIACEAE,,,,,,,,
,"Salix acmophylla Boiss.

",SALICACEAE	,,,,,,,,
,"Salix babylonica L.

",SALICACEAE	,,,,,,,,
,"Salix caprea L.

",SALICACEAE	,,,,,,,,
,"Salix tetrasperma Roxb.

",SALICACEAE	,,,,,,,,
,"Salsola baryosma (R.& S.) Dandy

",CHENOPODIACEAE,,,,,,,,
,"Salsola kali L.

",CHENOPODIACEAE,,,,,,,,
,"Salvadora oleoides Decne.

",SALVADORACEAE,,,,,,,,
,"Salvadora persica L.

",SALVADORACEAE,,,,,,,,
,"Salvia aegyptica L.

",LAMIACEAE,,,,,,,,
,"Salvia moorcroftiana Wall. ex Benth.



",LAMIACEAE,,,,,,,,
,"Salvia officinalis L.

",LAMIACEAE,,,,,,,,
,"Salvia plebeia R.Br.

",LAMIACEAE,,,,,,,,
,"Samadera indica Gaertn.

",SIMAROUBACEAE,,,,,,,,
,"Sambucus nigra L.

",CAPRIFOLIACEAE,,,,,,,,
,"Sambucus wightiana Wall. ex Wight & Arn.

",CAPRIFOLIACEAE,,,,,,,,
,"Sandoricum indicum Cav.

",MELIACEAE,,,,,,,,
,"Santaloides minus Schellenb.

",CONNARACEAE,,,,,,,,
,"Santalum album L.

",SANTALACEAE,,,,,,,,
,"Sapindus mukorossi Gaertn.

",SAPINDACEAE,,,,,,,,
,"Sapindus trifoliatus L.

",SAPINDACEAE,,,,,,,,
,"Sapindus trifoliatus L.

",EUPHORBIACEAE,,,,,,,,
,"Sapium insigne (Royle) Benth.

",EUPHORBIACEAE,,,,,,,,
,"Sapium sebiferum (L.) Roxb.

",EUPHORBIACEAE,,,,,,,,
,"Saprosma ternatum Benth. & Hook.f.

",RUBIACEAE,,,,,,,,
,"Saraca indica L.

",CAESALPINIACEAE,,,,,,,,
,"Sarcococca saligna Muell.Arg.

",EUPHORBIACEAE,,,,,,,,
,"Sarcostemma acidum (Roxb.) Voigt.

",ASCLEPIADACEAE,,,,,,,,
,"Sarcostemma intermedium Decne.

",ASCLEPIADACEAE,,,,,,,,
,"Sarcostigma kleinii Wight & Arn.

",ICACINACEAE,,,,,,,,
,"Satureja hortensis L.

",LAMIACEAE,,,,,,,,
,"Sauromatum venosum (Aiton) Kunth

",ARACEAE,,,,,,,,
,"Sauropus androgynus (L.) Merr.

",EUPHORBIACEAE,,,,,,,,
,"Sauropus quadrangularis (Willd.) Mll.Arg.

",EUPHORBIACEAE,,,,,,,,
,"Saussurea affinis Spreng. ex DC.

",ASTERACEAE,,,,,,,,
,"Saussurea auriculata (Spreng. ex DC.) Sch.Bip.

",ASTERACEAE,,,,,,,,
,"Saussurea heteromalla (D.Don) Hand.-Mazz.

",ASTERACEAE,,,,,,,,
,"Saussurea lappa (Decne.) Sch.Bip.

",ASTERACEAE,,,,,,,,
,"Saussurea obvallata (DC.) Sch.Bip.

",ASTERACEAE,,,,,,,,
,"Scaevola taccada (Gaertn.) Roxb.

",GOODENIACEAE,,,,,,,,
,"Schima wallichii (DC.) Korth.

",THEACEAE,,,,,,,,
,"Schleichera oleosa (Lour.) Oken

",SAPINDACEAE,,,,,,,,
,"Schleichera oleosa (Lour.) Oken

",OLEACEAE,,,,,,,,
,"Schweinfurthia papilionacea (Burm.f.) Boiss.

",SCROPHULARIACEAE,,,,,,,,
,"Scilla hyacinthina (Roth) Macbridge

",LILIACEAE,,,,,,,,
,"Scindapsus officinalis (Roxb.) Schott

",ARACEAE,,,,,,,,
,"Scindapsus officinalis (Roxb.) Schott

",CYPERACEAE,,,,,,,,
,Scindapsus officinalis (Roxb.) Schott,CYPERACEAE,,,,,,,,
,Scirpus lacustris L.,CYPERACEAE,,,,,,,,
,Scirpus maritimus L.,CYPERACEAE,,,,,,,,
,Scleria levis Retz.,CYPERACEAE,,,,,,,,
,"Scleria lithosperma (L.) Sw.

",CYPERACEAE,,,,,,,,
,"Scoparia dulcis L.

",SCROPHULARIACEAE,,,,,,,,
,"Scutellaria discolor Wall. ex Benth.

",LAMIACEAE,,,,,,,,
,"Scutellaria galericulata L.

",LAMIACEAE,,,,,,,,
,"Sebastiania chamaelea(L.) Muell.Arg.

",EUPHORBIACEAE,,,,,,,,
,"Secamone emetica (Retz.) R.Br. ex Sm.

",EUPHORBIACEAE,,,,,,,,
